-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.18
-0.01,0.00,-0.17
-0.01,0.00,-0.16
-0.01,0.00,-0.13
-0.01,0.00,-0.10
-0.02,0.00,-0.06
-0.02,0.00,-0.02
-0.02,0.00,0.02
-0.02,0.00,0.06
-0.03,-0.01,0.12
-0.03,-0.01,0.17
-0.04,-0.01,0.22
-0.04,-0.01,0.27
-0.04,-0.01,0.32
-0.05,-0.01,0.36
-0.05,-0.01,0.40
-0.05,-0.01,0.43
-0.05,-0.01,0.46
-0.05,-0.02,0.49
-0.06,-0.02,0.52
-0.06,-0.02,0.55
-0.06,-0.02,0.58
-0.06,-0.02,0.60
-0.06,-0.02,0.63
-0.07,-0.02,0.65
-0.07,-0.02,0.67
-0.07,-0.02,0.70
-0.07,-0.02,0.73
-0.07,-0.02,0.76
-0.07,-0.02,0.80
-0.06,-0.01,0.84
-0.06,-0.01,0.89
-0.06,-0.01,0.93
-0.06,-0.01,0.97
-0.06,-0.01,1.02
-0.06,-0.01,1.06
-0.06,-0.01,1.10
-0.05,-0.01,1.14
-0.05,-0.01,1.18
-0.05,-0.01,1.22
-0.05,-0.01,1.27
-0.04,-0.01,1.33
-0.04,-0.01,1.40
-0.04,-0.01,1.46
-0.03,-0.01,1.54
-0.03,-0.01,1.62
-0.03,-0.01,1.71
-0.02,-0.01,1.78
-0.02,-0.01,1.87
-0.02,-0.01,1.95
-0.01,-0.01,2.03
-0.01,-0.01,2.09
-0.01,-0.01,2.16
-0.01,-0.01,2.23
-0.01,-0.01,2.29
0.00,-0.01,2.35
0.00,-0.01,2.41
0.00,-0.01,2.45
0.00,-0.01,2.50
0.00,-0.02,2.54
0.00,-0.02,2.59
0.00,-0.02,2.63
0.01,-0.02,2.66
0.01,-0.02,2.69
0.01,-0.02,2.73
0.01,-0.02,2.76
0.01,-0.02,2.79
0.01,-0.02,2.82
0.01,-0.02,2.85
0.01,-0.02,2.87
0.01,-0.02,2.90
0.01,-0.02,2.92
0.01,-0.02,2.94
0.01,-0.02,2.96
0.02,-0.02,2.98
0.02,-0.02,3.00
0.02,-0.02,3.02
0.02,-0.02,3.03
0.02,-0.02,3.05
0.02,-0.02,3.06
0.02,-0.02,3.07
0.02,-0.02,3.09
0.02,-0.02,3.10
0.02,-0.02,3.11
0.03,-0.02,3.12
0.04,-0.02,3.13
0.05,-0.02,3.15
0.08,-0.02,3.16
0.12,-0.02,3.17
0.17,-0.02,3.19
0.24,-0.03,3.20
0.31,-0.03,3.21
0.40,-0.04,3.22
0.48,-0.04,3.23
0.57,-0.05,3.24
0.67,-0.05,3.25
0.80,-0.06,3.26
0.93,-0.06,3.27
1.08,-0.07,3.28
1.20,-0.07,3.29
1.37,-0.08,3.30
1.51,-0.09,3.31
1.66,-0.09,3.32
1.84,-0.10,3.32
1.99,-0.11,3.33
2.18,-0.11,3.34
2.38,-0.12,3.35
2.59,-0.13,3.35
2.80,-0.14,3.36
3.01,-0.15,3.36
3.23,-0.15,3.37
3.41,-0.16,3.37
3.60,-0.17,3.38
3.84,-0.18,3.38
4.08,-0.19,3.38
4.32,-0.20,3.39
4.56,-0.21,3.39
4.77,-0.21,3.39
5.03,-0.22,3.39
5.24,-0.23,3.39
5.45,-0.24,3.39
5.66,-0.25,3.39
5.92,-0.26,3.39
6.20,-0.27,3.40
6.46,-0.28,3.40
6.73,-0.29,3.40
6.95,-0.30,3.39
7.23,-0.32,3.39
7.51,-0.33,3.39
7.78,-0.34,3.39
8.06,-0.35,3.39
8.34,-0.36,3.39
8.62,-0.38,3.39
8.91,-0.39,3.38
9.20,-0.40,3.38
9.44,-0.41,3.38
9.72,-0.43,3.38
10.00,-0.44,3.37
10.28,-0.45,3.37
10.57,-0.47,3.37
10.86,-0.48,3.36
11.09,-0.49,3.36
11.38,-0.50,3.36
11.62,-0.52,3.35
11.86,-0.53,3.35
12.15,-0.54,3.35
12.45,-0.56,3.34
12.74,-0.58,3.34
13.04,-0.59,3.33
13.29,-0.61,3.32
13.61,-0.63,3.31
13.87,-0.65,3.30
14.13,-0.66,3.29
14.38,-0.68,3.28
14.64,-0.70,3.27
14.95,-0.73,3.26
15.20,-0.75,3.25
15.50,-0.78,3.24
15.79,-0.81,3.23
16.07,-0.84,3.22
16.35,-0.87,3.21
16.60,-0.91,3.20
16.79,-0.94,3.19
17.00,-0.98,3.18
17.18,-1.03,3.18
17.35,-1.09,3.18
17.51,-1.15,3.18
17.65,-1.23,3.18
17.77,-1.31,3.18
17.88,-1.40,3.18
17.97,-1.48,3.18
18.06,-1.59,3.19
18.14,-1.71,3.19
18.21,-1.83,3.19
18.27,-1.96,3.20
18.32,-2.10,3.20
18.37,-2.25,3.20
18.41,-2.41,3.21
18.44,-2.58,3.21
18.47,-2.75,3.22
18.49,-2.93,3.22
18.50,-3.12,3.22
18.51,-3.31,3.23
18.52,-3.51,3.23
18.52,-3.68,3.24
18.52,-3.89,3.24
18.52,-4.07,3.24
18.51,-4.29,3.24
18.50,-4.51,3.25
18.49,-4.74,3.25
18.48,-4.96,3.25
18.46,-5.19,3.25
18.44,-5.37,3.25
18.42,-5.59,3.24
18.40,-5.82,3.24
18.37,-6.05,3.24
18.34,-6.27,3.23
18.31,-6.49,3.23
18.27,-6.71,3.23
18.24,-6.89,3.22
18.20,-7.10,3.22
18.16,-7.31,3.22
18.13,-7.48,3.21
18.09,-7.69,3.21
18.04,-7.89,3.21
17.99,-8.09,3.20
17.94,-8.30,3.20
17.89,-8.46,3.20
17.83,-8.66,3.20
17.77,-8.86,3.20
17.72,-9.03,3.20
17.66,-9.23,3.20
17.60,-9.43,3.21
17.53,-9.64,3.21
17.48,-9.82,3.21
17.42,-10.04,3.21
17.36,-10.23,3.22
17.30,-10.48,3.22
17.24,-10.71,3.22
17.19,-10.91,3.22
17.13,-11.15,3.22
17.07,-11.40,3.22
17.02,-11.63,3.22
16.97,-11.84,3.22
16.91,-12.07,3.22
16.86,-12.28,3.22
16.82,-12.45,3.22
16.77,-12.65,3.22
